filename,n,greedy_cost,min_cost_flow_cost,greedy_time,min_cost_flow_time,priority_cost,priority_time
input/fake_instances/fake_272_2.csv,272,2763.53,1729.09,0.343584,17.0816,1837.16,17.4263
input/fake_instances/fake_356_6.csv,356,2360.02,1697.71,0.493,25.6345,1840.33,29.8061
input/fake_instances/fake_313_7.csv,313,2617.11,1862.28,0.417375,19.947,2056.83,25.0809
input/fake_instances/fake_5_9.csv,5,199.959,183.745,0.001625,0.027625,183.745,0.017959
input/fake_instances/fake_237_3.csv,237,2097.81,1480.61,0.2455,11.4144,1599.54,12.5124
input/fake_instances/fake_356_7.csv,356,2360.02,1697.71,0.497875,27.3211,1840.33,30.212
input/fake_instances/fake_272_3.csv,272,2763.53,1729.09,0.338375,16.5227,1837.16,17.2587
input/fake_instances/fake_488_8.csv,488,2928.81,2037.76,0.849167,53.2938,2192.77,53.4303
input/fake_instances/fake_370_4.csv,370,2750.37,1941.08,0.533958,29.0167,2095.57,28.1909
input/fake_instances/fake_83_6.csv,83,1014.36,781.776,0.041791,1.80596,850.338,1.4055
input/fake_instances/fake_261_9.csv,261,2780.16,1892.63,0.311166,14.1784,2058.81,17.513
input/fake_instances/fake_254_0.csv,254,2245.58,1594.9,0.295834,12.2192,1775.67,17.648
input/fake_instances/fake_148_5.csv,148,1600.47,1077.94,0.109542,4.82883,1161.09,5.12342
input/fake_instances/fake_335_4.csv,335,2936.06,2000.96,0.475625,25.5934,2185.44,24.8901
input/fake_instances/fake_224_9.csv,224,2438.13,1521.57,0.235208,14.0708,1669.84,11.0988
input/fake_instances/fake_211_0.csv,211,1940.64,1374.74,0.199541,9.40871,1501.86,9.64029
input/fake_instances/fake_26_3.csv,26,518.888,385.412,0.006666,0.181291,409.453,0.164958
input/fake_instances/fake_418_4.csv,418,3788.05,2568.24,0.789583,48.2292,2827.98,44.4505
input/fake_instances/fake_63_3.csv,63,1110.8,840.47,0.02575,1.08604,910.959,1.04313
input/fake_instances/fake_390_1.csv,390,2808.23,1940.57,0.617583,37.1262,2124.83,41.2453
input/fake_instances/fake_45_0.csv,45,802.076,608.692,0.016375,0.46725,645.282,0.911541
input/fake_instances/fake_292_6.csv,292,2937.94,1888.69,0.394083,19.9165,2057.87,20.2063
input/fake_instances/fake_70_9.csv,70,923.475,699.123,0.028375,0.950583,762.036,1.21437
input/fake_instances/fake_35_9.csv,35,891.409,664.26,0.012375,0.294333,713.564,0.289625
input/fake_instances/fake_136_3.csv,136,1334.2,1028.55,0.092375,4.11813,1106.44,4.23967
input/fake_instances/fake_486_7.csv,486,3657.05,2477.23,0.896416,59.8133,2728.19,50.8635
input/fake_instances/fake_173_3.csv,173,1909.98,1356.65,0.137875,6.3985,1425.64,5.91625
input/fake_instances/fake_358_8.csv,358,2992.39,1902.45,0.548625,32.1046,2098.33,29.9483
input/fake_instances/fake_249_5.csv,249,1954.57,1401.91,0.269,11.7288,1531.51,15.1062
input/fake_instances/fake_155_0.csv,155,1524.03,1092.91,0.1115,5.1395,1164,6.60163
input/fake_instances/fake_160_9.csv,160,1652.5,1243.09,0.127417,5.865,1336.51,6.15829
input/fake_instances/fake_110_0.csv,110,1279.97,1008.06,0.068,2.58021,1076.66,3.05521
